sorter,loan.or.trip,genus,species,subspecies,collection,specimen.number,sex,svl,locality,ct.whole.body,ct.head,ct.head.phantom,toepads,scales,dice.ct,eggs,status,type.material,percentile,remarks,latitude,longitude,ROM.Object ID,ROM.Object.Number
353,IW2017,Anolis,cristatellus,,IW,2609,F,39.77,"Guajataca State Forest, Puerto Rico",404,239,,,,,,In Lab,,0.768650947,,18.428265,-66.966899,,
354,IW2017,Anolis,stratulus,,IW,2610,F,38.37,"Guajataca State Forest, Puerto Rico",443,,,,,,,In Lab,,0.865944482,,18.428265,-66.966899,,
355,IW2017,Anolis,stratulus,,IW,2611,F,38.74,"Guajataca State Forest, Puerto Rico",443,,,,,,,In Lab,,0.874294742,,18.428265,-66.966899,,
356,IW2017,Anolis,stratulus,,IW,2631,F,37.16,"Cambalache State Forest, Puerto Rico",455,,,,,,,In Lab,,0.838636877,,18.451733,-66.596307,,
357,KU2019-10,Anolis,dollfusianus,,KU,50679,F,39.06,,808,,1214,,,,,Returned,,0.93,,,,,
358,KU2019-10,Anolis,allogus,East,KU,55150,M,53.67,,878,,1086,,,,,Returned,,0.833643989,,,,,
359,KU2019-10,Anolis,allogus,East,KU,55157,M,52.8,,878,,1344,,,,,Returned,,0.820130475,,,,,
360,KU2019-10,Anolis,allogus,East,KU,55158,M,51.71,,878,,1344,,,,,Returned,,0.803199751,,,,,
361,KU2019-10,Anolis,dollfusianus,,KU,59481,F,40.39,,809,,1218,,,,,Returned,,0.961666667,,,,,
362,KU2019-10,Anolis,dollfusianus,,KU,59485,M,38.35,,810,,1215,,,,,Returned,,0.891860465,,,,,
363,KU2019-10,Anolis,dollfusianus,,KU,59487,F,40.59,,807,,1216,,,,,Returned,,0.966428571,,,,,
364,KU2019-10,Anolis,petersii,,KU,59527,M,88.74,,"849, 850",,1053,,,,,Returned,,0.752033898,,,,,
365,KU2019-10,Anolis,duellmani,,KU,59531,M,35.13,,783,,1226,,,,,Returned,Paratype,0.911047718,,,,,
366,KU2019-10,Anolis,duellmani,,KU,59533,M,35.85,,783,,1226,,,,,Returned,Paratype,0.929719917,,,,,
367,KU2019-10,Anolis,rubiginosus,,KU,59536,M,45.4,,889,,1243,,,,,Returned,,0.928425358,,,,,
368,KU2019-10,Anolis,woodi,,KU,67156,M,76.5,,773,,1377,,,,,Returned,,0.805263158,,,,,
369,KU2019-10,Anolis,woodi,,KU,67157,M,79.52,,773,,1059,,,,,Returned,,0.837052632,,,,,
370,KU2019-10,Anolis,rubiginosus,,KU,70136,M,46,,889,,1244,,,,,Returned,,0.940695297,,,,,
371,KU2019-10,Anolis,rubiginosus,,KU,70139,F,49.02,,889,,1244,,,,,Returned,,0.881654676,,,,,
372,KU2019-10,Anolis,milleri,,KU,87303,F,40.46,,785,,1227,,,,,Returned,,0.817373737,,,,,
373,KU2019-10,Anolis,rubiginosus,,KU,87358,F,51.22,,883,,1241,,,,,Returned,,0.921223022,,,,,
374,KU2019-10,Anolis,rubiginosus,,KU,87359,M,45.08,,886,,1247,,,,,Returned,,0.921881391,,,,,
375,KU2019-10,Anolis,rubiginosus,,KU,87360,F,50.18,,886,,1247,,,,,Returned,,0.902517986,,,,,
376,KU2019-10,Anolis,rubiginosus,,KU,87362,M,44.01,,883,,1243,,,,,Returned,,0.9,,,,,
377,KU2019-10,Anolis,liogaster,,KU,87729,F,50.26,,831,,1219,,,,,Returned,,0.918662036,,,,,
378,KU2019-10,Anolis,brooksi,,KU,100412,F,150,,"764, 765",,1087,,,,,Returned,,1,,,,,
379,KU2019-10,Anolis,milleri,,KU,101108,M,44.72,,781,,1228,,,,,Returned,,0.819497893,,,,,
380,KU2019-10,Anolis,milleri,,KU,101110,F,42.25,,781,,1227,,,,,Returned,,0.853535354,,,,,
381,KU2019-10,Anolis,petersii,,KU,105700,F,107,,"847, 848",,1273,,,,,Returned,,0.856,,,,,
382,KU2019-10,Anolis,microlepidotus,,KU,105703,M,42.83,,792,,1221,,,,,Returned,,0.921075269,,,,,
383,KU2019-10,Anolis,purpurescens,,KU,113110,F,81.52,,"844, 845",,1061,,,,,Returned,,1,,,,,
384,KU2019-10,Anolis,brooksi,,KU,113127,F,137,,"764, 765",,1087,,,,,Returned,,0.913333333,,,,,
385,KU2019-10,Anolis,microtus,,KU,113237,F,104.7,,"762, 763",,1056,,,,,Returned,,0.987735849,,,,,
386,KU2019-10,Anolis,microtus,,KU,113238,F,105.16,,"762, 763",,1258,,,,,Returned,,0.992075472,,,,,
387,KU2019-10,Anolis,carpenteri,,KU,132507,M,37.17,,804,,1358,,,,,Returned,,0.826,,,,,
388,KU2019-10,Anolis,carpenteri,,KU,132508,M,36.75,,804,,1359,,,,,Returned,,0.816666667,,,,,
389,KU2019-10,Anolis,carpenteri,,KU,132509,M,38.67,,802,,1102,,,,,Returned,,0.859333333,,,,,
390,KU2019-10,Anolis,carpenteri,,KU,132511,F,35.97,,804,,1358,,,,,Returned,,0.765319149,,,,,
391,KU2019-10,Anolis,carpenteri,,KU,133163,F,41.62,,802,,1102,,,,,Returned,,0.885531915,,,,,
392,KU2019-10,Anolis,stevepoei,,KU,137704,M,45.88,,881,,1349,,,,,Returned,,0.9176,,,,,
393,KU2019-10,Anolis,stevepoei,,KU,137709,M,47.93,,878,,1085,,,,,Returned,,0.9586,,,,,
394,KU2019-10,Anolis,desechensis,,KU,159397,F,45.64,,777,,1079,,,,,Returned,,1,,,,,
395,KU2019-10,Anolis,desechensis,,KU,159398,M,59.37,,774,,1076,,,,,Returned,,0.945231651,,,,,
396,KU2019-10,Anolis,desechensis,,KU,159399,M,56.6,,774,,1257,,,,,Returned,,0.901130393,,,,,
397,KU2019-10,Anolis,desechensis,,KU,159401,F,45.51,,777,,1256,,,,,Returned,,0.997151621,,,,,
398,KU2019-10,Anolis,villai,,KU,159654,F,45.72,,813,,1233,,,,,Returned,Paratype,0.895768025,,,,,
399,KU2019-10,Anolis,villai,,KU,159657,M,51.81,,817,,1234,,,,,Returned,Paratype,0.942,,,,,
400,KU2019-10,Anolis,villai,,KU,159660,M,51.96,,815,,1235,,,,,Returned,Paratype,0.944727273,,,,,
401,KU2019-10,Anolis,villai,,KU,159665,F,49.62,,816,,1232,,,,,Returned,Paratype,0.972178683,,,,,
402,KU2019-10,Anolis,villai,,KU,159681,M,52.12,,817,,1234,,,,,Returned,Paratype,0.947636364,,,,,
403,KU2019-10,Anolis,villai,,KU,159682,M,51,,816,,1231,,,,,Returned,Paratype,0.927272727,,,,,
404,KU2019-10,Anolis,villai,,KU,159709,F,47.8,,813,,1232,,,,,Returned,Paratype,0.936520376,,,,,
405,KU2019-10,Anolis,villai,,KU,159710,F,51.04,,815,,1231,,,,,Returned,Paratype,1,,,,,
406,KU2019-10,Anolis,jacare,,KU,167490,F,69.43,,838,,1071,,,,,Returned,,0.991857143,,,,,
407,KU2019-10,Anolis,squamulatus,,KU,167494,M,125,,"860, 861",,1088,,,,,Returned,,1,,,,,
408,KU2019-10,Anolis,liogaster,,KU,182544,F,49.11,,831,,1220,,,,,Returned,,0.897642113,,,,,
409,KU2019-10,Anolis,liogaster,,KU,182545,M,50.47,,831,,1220,,,,,Returned,,0.972072419,,,,,
410,KU2019-10,Anolis,serranoi,,KU,184101,F,69.18,,851,,1374,,,,,Returned,,0.886923077,,,,,
411,KU2019-10,Anolis,serranoi,,KU,184114,F,70.22,,846,,1376,,,,,Returned,,0.90025641,,,,,
412,KU2019-10,Anolis,serranoi,,KU,184115,F,70.64,,846,,1062,,,,,Returned,,0.905641026,,,,,
413,KU2019-10,Anolis,serranoi,,KU,184123,M,76.39,,851,,1058,,,,,Returned,,0.898705882,,,,,
414,KU2019-10,Anolis,haguei,,KU,187069,F,47.58,,779,,1075,,,,,Returned,,0.909751434,,,,,
415,KU2019-10,Anolis,petersii,,KU,187126,F,103.45,,"847, 848",,1274,,,,,Returned,,0.8276,,,,,
416,KU2019-10,Anolis,cobanensis,,KU,190500,M,50.23,,841,,"1346, 1378",,,,,Returned,,0.851355932,,,,,
417,KU2019-10,Anolis,cobanensis,,KU,190558,F,50.56,,841,,"1345, 1379",,,,,Returned,,0.976061776,,,,,
418,KU2019-10,Anolis,cobanensis,,KU,190575,F,50.82,,842,,1083,,,,,Returned,,0.981081081,,,,,
419,KU2019-10,Anolis,cobanensis,,KU,190579,F,50.3,,842,,1311,,,,,Returned,,0.971042471,,,,,
420,KU2019-10,Anolis,cobanensis,,KU,190582,M,52.3,,842,,"1345, 1378",,,,,Returned,,0.886440678,,,,,
421,KU2019-10,Anolis,cobanensis,,KU,190583,M,52.88,,841,,1083,,,,,Returned,,0.896271186,,,,,
422,KU2019-10,Anolis,petersii,,KU,190738,M,85.87,,"849, 850",,1274,,,,,Returned,,0.727711864,,,,,
423,KU2019-10,Anolis,johnmeyeri,,KU,192623,F,49.72,,778,,1078,,,,,Returned,,0.712014893,,,,,
424,KU2019-10,Anolis,johnmeyeri,,KU,192624,M,68.48,,774,,1076,,,,,Returned,,0.938082192,,,,,
425,KU2019-10,Anolis,serranoi,,KU,193023,M,72.3,,846,,1374,,,,,Returned,,0.850588235,,,,,
426,KU2019-10,Anolis,serranoi,,KU,193024,M,71.99,,846,,1376,,,,,Returned,,0.846941176,,,,,
427,KU2019-10,Anolis,sp. nov. boulengerianus cf.,,KU,193127,F,46.75,,819,,1341,,,,,Returned,,0.882075472,,,,,
428,KU2019-10,Anolis,sp. nov. boulengerianus cf.,,KU,193132,F,50.89,,819,,1099,,,,,Returned,,0.960188679,,,,,
429,KU2019-10,Anolis,sp. nov. boulengerianus cf.,,KU,193140,M,65.42,,830,,1338,,,,,Returned,,0.948115942,,,,,
430,KU2019-10,Anolis,sp. nov. boulengerianus cf.,,KU,193143,M,65.96,,830,,1099,,,,,Returned,,0.955942029,,,,,
431,KU2019-10,Anolis,dollfusianus,,KU,193406,M,39.24,,808,,1213,,,,,Returned,,0.91255814,,,,,
432,KU2019-10,Anolis,cusuco,,KU,194275,F,44.77,,784,,1225,,,,,Returned,Paratype,0.987428319,,,,,
433,KU2019-10,Anolis,cusuco,,KU,194278,M,44.94,,782,,1223,,,,,Returned,Paratype,0.976956522,,,,,
434,KU2019-10,Anolis,cusuco,,KU,194282,F,41.74,,784,,1224,,,,,Returned,Paratype,0.920599912,,,,,
435,KU2019-10,Anolis,cusuco,,KU,194284,F,41.57,,780,,1223,,,,,Returned,Paratype,0.916850463,,,,,
436,KU2019-10,Anolis,cusuco,,KU,194285,M,43.73,,782,,1224,,,,,Returned,Paratype,0.950652174,,,,,
437,KU2019-10,Anolis,dollfusianus,,KU,194827,F,40.07,,806,,1217,,,,,Returned,,0.954047619,,,,,
438,KU2019-10,Anolis,wermuthi,,KU,195089,M,47.5,,779,,1225,,,,,Returned,Paratype,0.931372549,,,,,
439,KU2019-10,Anolis,petersii,,KU,195463,F,112.48,,"847, 848",,1066,,,,,Returned,,0.89984,,,,,
440,KU2019-10,Anolis,roatanensis,,KU,203136,F,46.44,,785,,1228,,,,,Returned,,0.737142857,,,,,
441,KU2019-10,Anolis,roatanensis,,KU,203137,F,51.03,,787,,1230,,,,,Returned,,0.81,,,,,
442,KU2019-10,Anolis,roatanensis,,KU,203141,M,55.03,,775,,1229,,,,,Returned,,0.840152672,,,,,
443,KU2019-10,Anolis,roatanensis,,KU,203143,M,57.1,,775,,1229,,,,,Returned,,0.871755725,,,,,
444,KU2019-10,Anolis,sheplani,,KU,209769,F,40.55,,791,,1206,,,,,Returned,Paratype,0.954566855,,,,,
445,KU2019-10,Anolis,sheplani,,KU,209775,F,39.64,,791,,1204,,,,,Returned,Paratype,0.933145009,,,,,
446,KU2019-10,Anolis,placidus,,KU,209776,F,42.27,,790,,1205,,,,,Returned,Paratype,0.886163522,,,,,
447,KU2019-10,Anolis,amplisquamosus,,KU,219927,M,43.83,,814,,1237,,,,,Returned,Paratype,0.952826087,,,,,
448,KU2019-10,Anolis,amplisquamosus,,KU,219928,M,43.97,,811,,1237,,,,,Returned,Paratype,0.955869565,,,,,
449,KU2019-10,Anolis,amplisquamosus,,KU,219929,M,44.77,,811,,1236,,,,,Returned,Paratype,0.97326087,,,,,
450,KU2019-10,Anolis,amplisquamosus,,KU,219937,F,45.83,,812,,1236,,,,,Returned,Paratype,0.935306122,,,,,
451,KU2019-10,Anolis,amplisquamosus,,KU,219943,F,42.72,,812,,1235,,,,,Returned,Paratype,0.871836735,,,,,
452,KU2019-10,Anolis,amplisquamosus,,KU,219945,F,44.26,,814,,1233,,,,,Returned,Paratype,0.903265306,,,,,
453,KU2019-10,Anolis,loveridgei,,KU,219982,F,71.95,,773,,1057,,,,,Returned,,0.620258621,,,,,
454,KU2019-10,Anolis,parvicirculatus,,KU,220846,F,46.87,,778,,1075,,,,,Returned,,0.867962963,,,,,
455,KU2019-10,Anolis,schiedii,,KU,220863,M,53.77,,775,,1077,,,,,Returned,,0.935130435,,,,,
456,KU2019-10,Anolis,schiedii,,KU,220864,F,52.59,,774,,1077,,,,,Returned,,0.970832564,,,,,
457,KU2019-10,Anolis,chamaeleonides,,KU,245644,M,157,,"771, 772",,1051,,,,,In Lab,,0.882022472,,,,,
458,KU2019-10,Anolis,valencienni,,KU,246678,M,81.88,,"844, 845",,1375,,,,,Returned,,0.952093023,,,,,
459,KU2019-10,Anolis,valencienni,,KU,246682,M,84.09,,"844, 845",,1060,,,,,Returned,,0.977790698,,,,,
460,KU2019-10,Anolis,spectrum,,KU,246869,M,39.13,,788,,1207,,,,,Returned,,0.892360319,,,,,
461,KU2019-10,Anolis,aliniger,,KU,250272,M,63.19,,843,,1082,,,,,Returned,,1,,,,,
462,KU2019-10,Anolis,aliniger,,KU,250282,M,60.16,,843,,1311,,,,,Returned,,0.952049375,,,,,
463,KU2019-10,Anolis,aliniger,,KU,250315,M,59.75,,843,,1310,,,,,Returned,,0.945561006,,,,,
464,KU2019-10,Anolis,altavelensis,,KU,250344,M,51.15,,776,,1079,,,,,Returned,,0.985929067,,,,,
465,KU2019-10,Anolis,alumina,,KU,250347,M,40.1,,792,,1212,,,,,Returned,Paratype,0.997512438,,,,,
466,KU2019-10,Anolis,alumina,,KU,250348,F,34.72,,796,,1211,,,,,Returned,Paratype,0.911764706,,,,,
467,KU2019-10,Anolis,alumina,,KU,250350,M,37.62,,794,,1209,,,,,Returned,Paratype,0.935820896,,,,,
468,KU2019-10,Anolis,alumina,,KU,250351,M,37.67,,793,,1213,,,,,Returned,Paratype,0.937064677,,,,,
469,KU2019-10,Anolis,alumina,,KU,250353,F,35.99,,794,,1210,,,,,Returned,Paratype,0.945115546,,,,,
470,KU2019-10,Anolis,alumina,,KU,250370,F,35.5,,793,,1211,,,,,Returned,Paratype,0.932247899,,,,,
471,KU2019-10,Anolis,litoralis,,KU,250384,M,43.96,,786,,1221,,,,,Returned,,0.892226507,,,,,
472,KU2019-10,Anolis,litoralis,,KU,250385,F,35.53,,790,,1204,,,,,Returned,,0.920704846,,,,,
473,KU2019-10,Anolis,litoralis,,KU,250387,M,49.27,,786,,1222,,,,,Returned,,1,,,,,
474,KU2019-10,Anolis,barahonae,,KU,250920,F,152,,"868, 869",,1090,,,,,Returned,,0.938271605,,,,,
475,KU2019-10,Anolis,barahonae,,KU,250922,F,152,,"866, 867",,1269,,,,,Returned,,0.938271605,,,,,
476,KU2019-10,Anolis,barahonae,,KU,250936,M,153,,"870, 871",,1268,,,,,Returned,,0.85,,,,,
477,KU2019-10,Anolis,barahonae,,KU,250948,F,151,,"874, 875",,1269,,,,,Returned,,0.932098765,,,,,
478,KU2019-10,Anolis,barahonae,,KU,250951,M,162,,"864, 865",,1050,,,,,Returned,,0.9,,,,,
479,KU2019-10,Anolis,barahonae,,KU,250953,M,172,,"872, 873",,1268,,,,,Returned,,0.955555556,,,,,
480,KU2019-10,Anolis,baracoae,,KU,250958,M,165,,"766, 767",,1049,,,,,In Lab,,0.959302326,,,,,
481,KU2019-10,Anolis,baracoae,,KU,250959,F,150,,"768, 769",,1090,,,,,In Lab,,0.949367089,,,,,
482,KU2019-10,Anolis,brunneus,,KU,251669,M,73.51,,876,,1371,,,,,Returned,,0.967236842,,,,,
483,KU2019-10,Anolis,brunneus,,KU,251673,M,74.36,,877,,1371,,,,,Returned,,0.978421053,,,,,
484,KU2019-10,Anolis,brunneus,,KU,251675,F,53.54,,880,,1073,,,,,Returned,,1,,,,,
485,KU2019-10,Anolis,brunneus,,KU,251676,F,51.88,,880,,1372,,,,,Returned,,0.968995144,,,,,
486,KU2019-10,Anolis,brunneus,,KU,251680,F,50.33,,879,,1373,,,,,Returned,,0.940044826,,,,,
487,KU2019-10,Anolis,brunneus,,KU,251681,M,75.71,,876,,1072,,,,,Returned,,0.996184211,,,,,
488,KU2019-10,Anolis,caudalis,,KU,251844,M,49.04,,888,,1240,,,,,Returned,,0.912202381,,,,,
489,KU2019-10,Anolis,caudalis,,KU,251854,F,40.14,,885,,1239,,,,,Returned,,0.912272727,,,,,
490,KU2019-10,Anolis,caudalis,,KU,251862,M,50.74,,884,,1240,,,,,Returned,,0.943824405,,,,,
491,KU2019-10,Anolis,caudalis,,KU,251864,M,48.42,,889,,1238,,,,,Returned,,0.900669643,,,,,
492,KU2019-10,Anolis,caudalis,,KU,251877,F,42.55,,885,,1239,,,,,Returned,,0.967045455,,,,,
493,KU2019-10,Anolis,caudalis,,KU,251878,F,41.57,,884,,1241,,,,,Returned,,0.944772727,,,,,
494,KU2019-10,Anolis,caudalis,,KU,251899,M,47.21,,890,,1238,,,,,Returned,,0.878162202,,,,,
495,KU2019-10,Anolis,coelestinus,,KU,252668,F,55.3,,836,,1290,,,,,Returned,,0.921666667,,,,,
496,KU2019-10,Anolis,coelestinus,,KU,252670,M,82.46,,835,,1067,,,,,Returned,,0.981666667,,,,,
497,KU2019-10,Anolis,coelestinus,,KU,252671,M,79.03,,835,,1291,,,,,Returned,,0.940833333,,,,,
498,KU2019-10,Anolis,coelestinus,,KU,252674,F,54.34,,836,,1290,,,,,Returned,,0.905666667,,,,,
499,KU2019-10,Anolis,coelestinus,,KU,252675,F,59.15,,836,,1070,,,,,Returned,,0.985833333,,,,,
500,KU2019-10,Anolis,coelestinus,,KU,252679,F,53.19,,841,,1310,,,,,Returned,,0.8865,,,,,
501,KU2019-10,Anolis,coelestinus,,KU,252723,M,78.46,,835,,1291,,,,,Returned,,0.934047619,,,,,
502,KU2019-10,Anolis,concolor,,KU,252956,M,78.67,,876,,1074,,,,,Returned,,0.983375,,,,,
503,KU2019-10,Anolis,concolor,,KU,252957,M,75.54,,876,,1370,,,,,Returned,,0.94425,,,,,
504,KU2019-10,Anolis,concolor,,KU,252961,M,72.81,,877,,1370,,,,,Returned,,0.910125,,,,,
505,KU2019-10,Anolis,concolor,,KU,252970,F,55.18,,877,,1073,,,,,Returned,,0.919666667,,,,,
506,KU2019-10,Anolis,concolor,,KU,252971,F,55.09,,877,,1372,,,,,Returned,,0.918166667,,,,,
507,KU2019-10,Anolis,concolor,,KU,252973,F,52.66,,879,,1373,,,,,Returned,,0.877666667,,,,,
508,KU2019-10,Anolis,cooki,,KU,252980,M,59.63,,843,,1265,,,,,Returned,,0.954843875,,,,,
509,KU2019-10,Anolis,cooki,,KU,252982,M,62.21,,839,,1080,,,,,Returned,,0.996156926,,,,,
510,KU2019-10,Anolis,cooki,,KU,252983,M,59.36,,839,,1265,,,,,Returned,,0.950520416,,,,,
511,KU2019-10,Anolis,conspersus,,KU,252998,M,73.97,,837,,1080,,,,,Returned,,0.973289474,,,,,
512,KU2019-10,Anolis,eladioi,,KU,253064,M,51.1,,787,,1222,,,,,Returned,Paratype,0.709032885,,,,,
513,KU2019-10,Anolis,conspersus,,KU,253186,M,72.07,,839,,1266,,,,,Returned,,0.948289474,,,,,
514,KU2019-10,Anolis,conspersus,,KU,253251,M,73.73,,839,,1266,,,,,Returned,,0.970131579,,,,,
515,KU2019-10,Anolis,conspersus,,KU,253304,F,46.75,,852,,1267,,,,,Returned,,0.910241433,,,,,
516,KU2019-10,Anolis,conspersus,,KU,253315,F,48.77,,840,,1081,,,,,Returned,,0.949571651,,,,,
517,KU2019-10,Anolis,conspersus,,KU,253326,F,48.84,,852,,1267,,,,,Returned,,0.950934579,,,,,
518,KU2019-10,Anolis,conspersus,,KU,253329,F,49.16,,840,,1081,,,,,Returned,,0.957165109,,,,,
519,KU2019-10,Anolis,cuvieri,,KU,253838,F,123,,"860, 861",,1088,,,,,Returned,,0.984,,,,,
520,KU2019-10,Anolis,cuvieri,,KU,253840,F,123,,"858, 859",,1264,,,,,Returned,,0.984,,,,,
521,KU2019-10,Anolis,cuvieri,,KU,253841,F,120,,"858, 859",,1264,,,,,Returned,,0.96,,,,,
522,KU2019-10,Anolis,oligaspis,,KU,253847,M,51.11,,800,,1361,,,,,Returned,,0.964339623,,,,,
523,KU2019-10,Anolis,oligaspis,,KU,253854,F,43.3,,797,,1357,,,,,Returned,,0.921276596,,,,,
524,KU2019-10,Anolis,oligaspis,,KU,253864,M,51.33,,799,,1100,,,,,Returned,,0.968490566,,,,,
525,KU2019-10,Anolis,oligaspis,,KU,253870,F,44.44,,797,,1101,,,,,Returned,,0.945531915,,,,,
526,KU2019-10,Anolis,oligaspis,,KU,253872,M,50.83,,799,,1361,,,,,Returned,,0.959056604,,,,,
527,KU2019-10,Anolis,oligaspis,,KU,253885,F,44.37,,800,,1362,,,,,Returned,,0.944042553,,,,,
528,KU2019-10,Anolis,alutaceus,,KU,253897,F,34.18,,788,,1207,,,,,Returned,,0.923783784,,,,,
529,KU2019-10,Anolis,aliniger,,KU,253902,F,46.46,,857,,"1348, 1379",,,,,Returned,,0.893461538,,,,,
530,KU2019-10,Anolis,aliniger,,KU,253906,F,47.52,,857,,1084,,,,,Returned,,0.913846154,,,,,
531,KU2019-10,Anolis,dolichocephalus,sarmenticola,KU,257510,M,49.28,,801,,1360,,,,,Returned,,0.942797015,,,,,
532,KU2019-10,Anolis,dolichocephalus,sarmenticola,KU,257523,M,50.61,,798,,1100,,,,,Returned,,0.968241821,,,,,
533,KU2019-10,Anolis,dolichocephalus,sarmenticola,KU,257550,M,49.09,,798,,1360,,,,,Returned,,0.939162043,,,,,
534,KU2019-10,Anolis,dolichocephalus,sarmenticola,KU,257569,F,41.71,,803,,1101,,,,,Returned,,0.97,,,,,
535,KU2019-10,Anolis,dolichocephalus,sarmenticola,KU,257571,F,40.9,,801,,1359,,,,,Returned,,0.951162791,,,,,
536,KU2019-10,Anolis,dolichocephalus,sarmenticola,KU,257574,F,40.06,,803,,1362,,,,,Returned,,0.931627907,,,,,
537,KU2019-10,Anolis,reconditus,,KU,259002,M,88.63,,761,,1055,,,,,Returned,,0.8863,,,,,
538,KU2019-10,Anolis,poncensis,,KU,259053,M,44.16,,805,,1218,,,,,Returned,,0.90122449,,,,,
539,KU2019-10,Anolis,poncensis,,KU,259056,M,43.18,,807,,1217,,,,,Returned,,0.88122449,,,,,
540,KU2019-10,Anolis,poncensis,,KU,259058,F,36.57,,809,,1215,,,,,Returned,,0.831136364,,,,,
541,KU2019-10,Anolis,poncensis,,KU,259060,M,43.24,,805,,1219,,,,,Returned,,0.88244898,,,,,
542,KU2019-10,Anolis,occultus,,KU,259606,M,34.02,,796,,1208,,,,,Returned,Paratype,0.805397727,,,,,
543,KU2019-10,Anolis,occultus,,KU,259612,M,35.15,,795,,1208,,,,,Returned,Paratype,0.832149621,,,,,
544,KU2019-10,Anolis,occultus,,KU,259616,F,40.77,,795,,1212,,,,,Returned,Paratype,0.970714286,,,,,
545,KU2019-10,Anolis,occultus,,KU,259618,F,38.94,,796,,1209,,,,,Returned,Paratype,0.927142857,,,,,
546,KU2019-10,Anolis,occultus,,KU,259621,F,38.39,,795,,1210,,,,,Returned,Paratype,0.914047619,,,,,
547,KU2019-10,Anolis,eugenegrahami,,KU,270693,M,72.48,,832,,1368,,,,,Returned,,0.96127321,,,,,
548,KU2019-10,Anolis,eugenegrahami,,KU,270695,M,69.51,,832,,1368,,,,,Returned,,0.921883289,,,,,
549,KU2019-10,Anolis,eugenegrahami,,KU,270705,M,72.25,,832,,1369,,,,,Returned,,0.958222812,,,,,
550,KU2019-10,Anolis,eugenegrahami,,KU,270715,M,74.11,,832,,1063,,,,,Returned,,0.982891247,,,,,
551,KU2019-10,Anolis,eugenegrahami,,KU,270728,F,57.57,,833,,1366,,,,,Returned,,0.876122356,,,,,
552,KU2019-10,Anolis,eugenegrahami,,KU,270741,F,61.12,,833,,1366,,,,,Returned,,0.930147618,,,,,
553,KU2019-10,Anolis,eugenegrahami,,KU,270746,F,61.79,,833,,1065,,,,,Returned,,0.940343935,,,,,
554,KU2019-10,Anolis,macrophallus,,KU,289768,M,48.32,,831,,1098,,,,,Returned,,0.894814815,,,,,
555,KU2019-10,Anolis,macrophallus,,KU,289865,F,44.11,,820,,1342,,,,,Returned,,0.938510638,,,,,
556,KU2019-10,Anolis,macrophallus,,KU,289945,M,45.23,,820,,1342,,,,,Returned,,0.837592593,,,,,
557,KU2019-10,Anolis,macrophallus,,KU,289946,F,43.8,,823,,1343,,,,,Returned,,0.931914894,,,,,
558,KU2019-10,Anolis,macrophallus,,KU,290056,M,44.73,,823,,1340,,,,,Returned,,0.828333333,,,,,
559,KU2019-10,Anolis,macrophallus,,KU,290057,F,45.84,,818,,1098,,,,,Returned,,0.975319149,,,,,
560,KU2019-10,Anolis,macrophallus,,KU,290060,F,41.79,,818,,1340,,,,,Returned,,0.889148936,,,,,
561,KU2019-10,Anolis,altavelensis,,KU,290346,F,43.58,,780,,1078,,,,,Returned,,0.990454545,,,,,
562,KU2019-10,Anolis,altavelensis,,KU,290348,M,51.14,,776,,1256,,,,,Returned,,0.985736315,,,,,
563,KU2019-10,Anolis,allisoni,,KU,298101,M,80.47,,837,,1044,,,,,Returned,,0.845717288,,,,,
564,KU2019-10,Anolis,allisoni,,KU,298102,M,95.15,,837,,1367,,,,,Returned,,1,,,,,
565,KU2019-10,Anolis,allisoni,,KU,298103,M,89.44,,837,,1367,,,,,Returned,,0.93998949,,,,,
566,KU2019-10,Anolis,allisoni,,KU,298104,F,68.8,,838,,1064,,,,,Returned,,1,,,,,
567,KU2019-10,Anolis,allisoni,,KU,298105,F,57.78,,833,,1369,,,,,Returned,,0.839825581,,,,,
568,KU2019-10,Anolis,allogus,East,KU,298110,F,45.15,,881,,1085,,,,,Returned,,0.921428571,,,,,
569,KU2019-10,Anolis,allogus,East,KU,298114,F,43.71,,882,,1349,,,,,Returned,,0.904693878,,,,,
570,KU2019-10,Anolis,allogus,East,KU,298116,F,41.15,,882,,1343,,,,,Returned,,0.839795918,,,,,
571,KU2019-10,Anolis,equestris,thomasi,KU,298392,M,167,,"862, 863",,1052,,,,,In Lab,,0.883597884,,,,,
572,KU2019-10,Anolis,vermiculatus,,KU,299749,F,78.43,,773,,1045,,,,,Returned,,0.923792697,,,,,
573,KU2019-10,Anolis,vermiculatus,,KU,299751,M,114,,761,,1054,,,,,Returned,,0.88372093,,,,,
574,KU2019-10,Anolis,aliniger,,KU,315812,F,45.8,,854,,"1348, 1384",,,,,Returned,,0.880769231,,,,,
575,KU2019-10,Anolis,armouri,,KU,315824,M,66.06,,835,,1068,,,,,Returned,,0.892702703,,,,,
576,KU2019-10,Anolis,armouri,,KU,315827,F,49.93,,840,,1069,,,,,Returned,,0.891607143,,,,,
577,KU2019-10,Anolis,armouri,,KU,315828,F,46.89,,836,,1289,,,,,Returned,,0.837321429,,,,,
578,KU2019-10,Anolis,armouri,,KU,315832,F,45.63,,840,,1309,,,,,Returned,,0.814821429,,,,,
579,KU2019-10,Anolis,armouri,,KU,315835,M,62.49,,838,,1289,,,,,Returned,,0.844459459,,,,,
